participant:assignmentId,condition,state,trial,blockTrial,trialStartTime,monster,family,category,preferredFood,choice,correct,rt
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,132,97,477515,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1536
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,133,98,479832,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1621
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,134,99,482321,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1367
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,135,100,484639,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,751
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,136,101,486254,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,763
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,137,102,488109,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,763
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,138,103,489652,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,768
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,139,104,493180,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,830
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,140,105,495868,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,1218
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,141,106,497882,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,723
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,142,107,499419,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,938
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,143,108,501148,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,747
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,144,109,502879,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,646
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,145,110,505315,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,8401
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,146,111,514519,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1272
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,147,112,516757,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1402
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,148,113,519157,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,994
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,149,114,521073,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,684
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,150,115,522540,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,765
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,151,116,525440,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,1510
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,152,117,528465,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1204
