# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,5.577689243027888349e-02,1.200000000000000000e+01,8.599999999999999867e-01
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,5.577689243027888349e-02,1.200000000000000000e+01,8.599999999999999867e-01
1.700000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.110000000000000000e+02,4.422310756972111512e-01,7.100000000000000000e+01,6.400000000000000133e-01
1.700000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.120000000000000000e+02,4.462151394422310680e-01,5.800000000000000000e+01,5.200000000000000178e-01
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,4.319999999999999951e-01,1.000000000000000000e+02,9.300000000000000488e-01
1.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,2.320000000000000118e-01,5.300000000000000000e+01,9.100000000000000311e-01
1.800000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.900000000000000000e+01,1.160000000000000059e-01,1.600000000000000000e+01,5.500000000000000444e-01
1.800000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,5.500000000000000000e+01,2.200000000000000011e-01,3.000000000000000000e+01,5.500000000000000444e-01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,1.730000000000000000e+02,6.899999999999999467e-01
1.900000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01,3.200000000000000067e-01,6.600000000000000000e+01,8.199999999999999512e-01
2.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.700000000000000000e+01,3.479999999999999760e-01,7.700000000000000000e+01,8.900000000000000133e-01
2.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,3.599999999999999728e-02,4.000000000000000000e+00,4.400000000000000022e-01
2.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.400000000000000000e+01,2.959999999999999853e-01,4.200000000000000000e+01,5.699999999999999512e-01
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,4.959999999999999964e-01,1.190000000000000000e+02,9.599999999999999645e-01
2.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.220000000000000000e+02,4.879999999999999893e-01,1.210000000000000000e+02,9.899999999999999911e-01
2.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000167e-03,1.000000000000000000e+00,5.000000000000000000e-01
2.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.700000000000000000e+01,3.079999999999999960e-01,6.500000000000000000e+01,8.399999999999999689e-01
2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.430000000000000000e+02,5.719999999999999529e-01,1.330000000000000000e+02,9.300000000000000488e-01
2.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01,8.000000000000000167e-02,1.600000000000000000e+01,8.000000000000000444e-01
2.200000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000083e-02,4.000000000000000000e+00,4.000000000000000222e-01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.510000000000000000e+02,1.000000000000000000e+00,2.510000000000000000e+02,1.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
